user_input,reference_contexts,reference,synthesizer_name
How did Lanfranc become Archbishop of Canterbury and what role did he play as one of William's prominent ecclesiastical advisors during his reign?,"['<1-hop>\n\nChurch affairs\nWhile at Winchester in 1070, William met with three papal legates\xa0– John Minutus, Peter, and Ermenfrid of Sion\xa0– who had been sent by the pope. The legates ceremonially crowned William during the Easter court. The historian David Bates sees this coronation as the ceremonial papal ""seal of approval"" for William\'s conquest. The legates and the king then held a series of ecclesiastical councils dedicated to reforming and reorganising the English church. Stigand and his brother, Æthelmær, the Bishop of Elmham, were deposed from their bishoprics. Some of the native abbots were also deposed, both at the council held near Easter and at a further one near Whitsun. The Whitsun council saw the appointment of Lanfranc as the new Archbishop of Canterbury, and Thomas of Bayeux as the new Archbishop of York, to replace Ealdred, who had died in September 1069. William\'s half-brother Odo perhaps expected to be appointed to Canterbury, but William probably did not wish to give that much power to a family member. Another reason for the appointment may have been pressure from the papacy to appoint Lanfranc. Norman clergy were appointed to replace the deposed bishops and abbots, and at the end of the process, only native English bishops remained in office, along with several continental prelates appointed by Edward the Confessor. In 1070 William also founded Battle Abbey, a new monastery at the site of the Battle of Hastings, partly as a penance for the deaths in the battle and partly as a memorial to the dead. At an ecclesiastical council held in Lillebonne in 1080, he was confirmed in his ultimate authority over the Norman church.', ""<2-hop>\n\nNorman administration\nNorman government under William was similar to the government that had existed under earlier dukes. It was a fairly simple administrative system, built around the ducal household, a group of officers including stewards, butlers, and marshals. The duke travelled constantly around the duchy, confirming charters and collecting revenues. Most of the income came from the ducal lands, as well as from tolls and a few taxes. This income was collected by the chamber, one of the household departments.\nWilliam cultivated close relations with the church in his duchy. He took part in church councils and made several appointments to the Norman episcopate, including the appointment of Maurilius as Archbishop of Rouen. Another important appointment was that of William's half-brother, Odo, as Bishop of Bayeux in 1049 or 1050. He also relied on the clergy for advice, including Lanfranc, a non-Norman who rose to become one of William's prominent ecclesiastical advisors from the late 1040s through the 1060s. William gave generously to the church; from 1035 to 1066, the Norman aristocracy founded at least twenty new monastic houses, including William's two monasteries in Caen, a remarkable expansion of religious life in the duchy.""]","Lanfranc became Archbishop of Canterbury in 1070 following the deposition of Stigand at a council near Whitsun. He was appointed by William, who also confirmed him in his ultimate authority over the Norman church. As one of William's prominent ecclesiastical advisors from the late 1040s through the 1060s, Lanfranc played a significant role in advising William on religious matters and other aspects of governance.",multi_hop_specific_query_synthesizer
How did Norman followers acquire land in England after the conquest and what role did they play in military campaigns under William's rule?,"[""<1-hop>\n\nWilliam as king\nChanges in England\nAs part of his efforts to secure England, William ordered many castles, keeps, and mottes built\xa0– among them the central keep of the Tower of London, the White Tower. These fortifications allowed Normans to retreat into safety when threatened with rebellion and allowed garrisons to be protected while they occupied the countryside. The early castles were simple earth and timber constructions, later replaced with stone structures.\nAt first, most of the newly settled Normans kept household knights and did not settle their retainers with fiefs of their own, but gradually these household knights came to be granted lands of their own, a process known as subinfeudation. William also required his newly created magnates to contribute fixed quotas of knights towards not only military campaigns but also castle garrisons. This method of organising the military forces was a departure from the pre-Conquest English practice of basing military service on territorial units such as the hide.\nBy William's death, after weathering a series of rebellions, most of the native Anglo-Saxon aristocracy had been replaced by Norman and other continental magnates. Not all of the Normans who accompanied William in the initial conquest acquired large amounts of land in England. Some appear to have been reluctant to take up lands in a kingdom that did not always appear pacified. Although some of the newly rich Normans in England came from William's close family or from the upper Norman nobility, others were from relatively humble backgrounds. William granted some lands to his continental followers from the holdings of one or more specific Englishmen; at other times, he granted a compact grouping of lands previously held by many different Englishmen to one Norman follower, often to allow for the consolidation of lands around a strategically placed castle."", ""<2-hop>\n\nThe battle began at about 9\xa0am on 14 October and lasted all day. While a broad outline is known, the exact events are obscured by contradictory accounts. Although the numbers on each side were about equal, William had both cavalry and infantry, including many archers, while Harold had only foot soldiers and few, if any, archers. The English soldiers formed up as a shield wall along the ridge and were at first so effective that William's army was thrown back with heavy casualties. Some of William's Breton troops panicked and fled, and some of the English troops appear to have pursued the fleeing Bretons until they themselves were attacked and destroyed by Norman cavalry. During the Bretons' flight, rumours swept through the Norman forces that the duke had been killed, but William succeeded in rallying his troops. Two further Norman retreats were feigned, to draw the English into pursuit and expose them to repeated attacks by the Norman cavalry. The available sources are more confused about events in the afternoon, but it appears that the decisive event was Harold's death, about which differing stories are told. William of Jumièges claimed that Harold was killed by the duke. The Bayeux Tapestry has been claimed to show Harold's death by an arrow to the eye, but that may be a later reworking of the tapestry to conform to 12th-century stories in which Harold was slain by an arrow wound to the head.""]","Norman followers acquired land in England through a process known as subinfeudation, where newly created magnates were required to contribute fixed quotas of knights towards both military campaigns and castle garrisons. This was different from the pre-Conquest English practice of basing military service on territorial units such as the hide. Some Norman followers came from humble backgrounds or were part of William's close family or upper Norman nobility, and they received lands either from specific Englishmen or compact groupings of previously held lands to consolidate around strategically placed castles. These followers played a significant role in military campaigns under William’s rule by contributing knights as required.",multi_hop_specific_query_synthesizer
Who was Æthelbald?,"['Alfred the Great (Old English: Ælfrǣd ; c.\u2009849 – 26 October 899) was King of the West Saxons from 871 to 886, and King of the Anglo-Saxons from 886 until his death in 899. He was the youngest son of King Æthelwulf and his first wife Osburh, who both died when Alfred was young. Three of Alfred\'s brothers, Æthelbald, Æthelberht and Æthelred, reigned in turn before him. Under Alfred\'s rule, considerable administrative and military reforms were introduced, prompting lasting change in England.\nAfter ascending the throne, Alfred spent several years fighting Viking invasions. He won a decisive victory in the Battle of Edington in 878 and made an agreement with the Vikings, dividing England between Anglo-Saxon territory and the Viking-ruled Danelaw, composed of Scandinavian York, the north-east Midlands and East Anglia. Alfred also oversaw the conversion of Viking leader Guthrum to Christianity. He defended his kingdom against the Viking attempt at conquest, becoming the dominant ruler in England. Alfred began styling himself as ""King of the Anglo-Saxons"" after reoccupying London from the Vikings. Details of his life are described in a work by 9th-century Welsh scholar and bishop Asser.\nAlfred had a reputation as a learned and merciful man of a gracious and level-headed nature who encouraged education, proposing that primary education be conducted in English rather than Latin, and improving the legal system and military structure and his people\'s quality of life. He was given the epithet ""the Great"" from as early as the 13th century, though it was only popularised from the 16th century. Alfred is the only native-born English monarch to be labelled as such.']",Æthelbald was one of Alfred's brothers who reigned in turn before Alfred.,single_hop_specifc_query_synthesizer
Who said Alfreed was born in 849?,"['Family\nAlfred was  the youngest son of Æthelwulf, king of Wessex, and his wife Osburh. According to his biographer, Asser, writing in 893, ""In the year of our Lord\'s Incarnation 849 Alfred, King of the Anglo-Saxons"", was born at the royal estate called Wantage, in the district known as Berkshire (""which is so called from Berroc Wood, where the box tree grows very abundantly""). This date has been accepted by the editors of Asser\'s biography, Simon Keynes and Michael Lapidge, and by other historians such as David Dumville, Justin Pollard and Richard Huscroft. West Saxon genealogical lists state that Alfred was 23 when he became king in April 871, implying that he was born between April 847 and April 848. This dating is adopted in the biography of Alfred by Alfred Smyth, who regards Asser\'s biography as fraudulent, an allegation which is rejected by other historians. Richard Abels in his biography discusses both sources but does not decide between them and dates Alfred\'s birth as 847/849, while Patrick Wormald in his Oxford Dictionary of National Biography article dates it 848/849. Berkshire had been historically disputed between Wessex and the midland kingdom of Mercia, and as late as 844, a charter showed that it was part of Mercia, but Alfred\'s birth in the county is evidence that, by the late 840s, control had passed to Wessex.']","According to his biographer, Asser, writing in 893, 'In the year of our Lord's Incarnation 849 Alfred, King of the Anglo-Saxons', was born at the royal estate called Wantage.",single_hop_specifc_query_synthesizer
What happened to AEthelred before Alfred was born?,"['He was the youngest of six children. His eldest brother, Æthelstan, was old enough to be appointed sub-king of Kent in 839, almost 10 years before Alfred was born. He died in the early 850s. Alfred\'s next three brothers were successively kings of Wessex. Æthelbald (858–860) and Æthelberht (860–865) were also much older than Alfred, but Æthelred (865–871) was only a year or two older. Alfred\'s only known sister, Æthelswith, married Burgred, king of Mercia in 853. Most historians think that Osburh was the mother of all Æthelwulf\'s children, but some suggest that the older ones were born to an unrecorded first wife. Osburh was descended from the rulers of the Isle of Wight. She was described by Asser as ""a most religious woman, noble in character and noble by birth"". She had died by 856 when Æthelwulf married Judith, daughter of Charles the Bald, king of West Francia.\nIn 868, Alfred married Ealhswith, daughter of the Mercian nobleman Æthelred Mucel, ealdorman of the Gaini, and his wife Eadburh, who was of royal Mercian descent. Their children were Æthelflæd, who married Æthelred, Lord of the Mercians; Edward the Elder, Alfred\'s successor as king; Æthelgifu, abbess of Shaftesbury; Ælfthryth, who married Baldwin, count of Flanders; and Æthelweard.']","His eldest brother, Æthelstan, was old enough to be appointed sub-king of Kent in 839, almost 10 years before Alfred was born. He died in the early 850s.",single_hop_specifc_query_synthesizer
What is Richard Abels' view on Ecgberht becoming a lasting king according to the historian's perspective?,"[""Background\nAlfred's grandfather, Ecgberht, became king of Wessex in 802, and in the view of the historian Richard Abels, it must have seemed very unlikely to contemporaries that he would establish a lasting dynasty. For 200 years, three families had fought for the West Saxon throne, and no son had followed his father as king. No ancestor of Ecgberht had been a king of Wessex since Ceawlin in the late sixth century, but he was believed to be a paternal descendant of Cerdic, the founder of the West Saxon dynasty. This made Ecgberht an ætheling – a prince eligible for the throne. But after Ecgberht's reign, descent from Cerdic was no longer sufficient to make a man an ætheling. When Ecgberht died in 839, he was succeeded by his son Æthelwulf; all subsequent West Saxon kings were descendants of Ecgberht and Æthelwulf, and were also sons of kings.\nAt the beginning of the ninth century, England was almost wholly under the control of the Anglo-Saxons. Mercia dominated southern England, but its supremacy came to an end in 825 when it was decisively defeated by Ecgberht at the Battle of Ellendun. Mercia and Wessex became allies, which was important in the resistance to Viking attacks. In 853, King Burgred of Mercia requested West Saxon help to suppress a Welsh rebellion, and Æthelwulf led a West Saxon contingent in a successful joint campaign. In the same year Burgred married Æthelwulf's daughter, Æthelswith.""]","According to the historian Richard Abels, it must have seemed very unlikely to contemporaries that Ecgberht would establish a lasting dynasty. For 200 years, three families had fought for the West Saxon throne, and no son had followed his father as king.",single_hop_specifc_query_synthesizer
Who was Æthelwulf and what did he do as king of Kent?,"['In 825, Ecgberht sent Æthelwulf to invade the Mercian sub-kingdom of Kent, and its sub-king, Baldred, was driven out shortly afterwards. By 830, Essex, Surrey and Sussex had submitted to Ecgberht, and he had appointed Æthelwulf to rule the south-eastern territories as king of Kent. The Vikings ravaged the Isle of Sheppey in 835, and the following year they defeated Ecgberht at Carhampton in Somerset, but in 838 he was victorious over an alliance of Cornishmen and Vikings at the Battle of Hingston Down, reducing Cornwall to the status of a client kingdom. When Æthelwulf succeeded to the throne, he appointed his eldest son Æthelstan as sub-king of Kent. Ecgberht and Æthelwulf may not have intended a permanent union between Wessex and Kent because they both appointed sons as sub-kings, and charters in Wessex were attested (witnessed) by West Saxon magnates, while Kentish charters were witnessed by the Kentish elite; both kings kept overall control, and the sub-kings were not allowed to issue their own coinage.\nViking raids increased in the early 840s on both sides of the English Channel, and in 843 Æthelwulf was defeated at Carhampton. In 850, Æthelstan defeated a Danish fleet off Sandwich in the first recorded naval battle in English history. In 851, Æthelwulf and his second son, Æthelbald, defeated the Vikings at the Battle of Aclea and, according to the Anglo-Saxon Chronicle, ""there made the greatest slaughter of a heathen raiding-army that we have heard tell of up to this present day, and there took the victory"". Æthelwulf died in 858 and was succeeded by his oldest surviving son, Æthelbald, as king of Wessex and by his next oldest son, Æthelberht, as king of Kent. Æthelbald only survived his father by two years, and Æthelberht then for the first time united Wessex and Kent into a single kingdom.']","Æthelwulf was appointed by Ecgberht to rule the south-eastern territories as king of Kent. He succeeded to the throne after Ecgberht, and his eldest son Æthelstan was sub-king of Kent under him.",single_hop_specifc_query_synthesizer
What did Pope Leo IV do for King Alfred according to the Anglo-Saxon Chronicle?,"['Childhood\nAccording to Asser, in his childhood Alfred won a beautifully decorated book of English poetry, offered as a prize by his mother to the first of her sons able to memorise it. He must have had it read to him because his mother died when he was about six and he did not learn to read until he was 12. In 853, Alfred is reported by the Anglo-Saxon Chronicle to have been sent to Rome where he was confirmed by Pope Leo IV, who ""anointed him as king"". Victorian writers later interpreted this as an anticipatory coronation in preparation for his eventual succession to the throne of Wessex. This is unlikely; his succession could not have been foreseen at the time because Alfred had three living elder brothers. A letter of Leo IV shows that Alfred was made a ""consul"" and a misinterpretation of this investiture, deliberate or accidental, could explain later confusion. It may be based upon the fact that Alfred later accompanied his father on a pilgrimage to Rome where he spent some time at the court of Charles the Bald, king of the Franks, around 854–855. On their return from Rome in 856, Æthelwulf was deposed by his son Æthelbald. With civil war looming, the magnates of the realm met in council to form a compromise. Æthelbald retained the western shires (i.e. historical Wessex), and Æthelwulf ruled in the east. After King Æthelwulf died in 858, Wessex was ruled by three of Alfred\'s brothers in succession: Æthelbald, Æthelberht and Æthelred.']","According to the Anglo-Saxon Chronicle, in 853, Pope Leo IV confirmed Alfred by anointing him as king after he was sent to Rome.",single_hop_specifc_query_synthesizer
What role did the Danes play in the conquest of Anglo-Saxon England according to the context?,"[""The reigns of Alfred's brothers\nAlfred is not mentioned during the short reigns of his older brothers Æthelbald and Æthelberht. The Anglo-Saxon Chronicle describes the Great Heathen Army of Danes landing in East Anglia with the intent of conquering the four kingdoms which constituted Anglo-Saxon England in 865. Alfred's public life began in 865 at age 16 with the accession of his third brother, 18-year-old Æthelred. During this period, Bishop Asser gave Alfred the unique title of secundarius, which may indicate a position similar to the Celtic tanist, a recognised successor closely associated with the reigning monarch. This arrangement may have been sanctioned by Alfred's father or by the Witan to guard against the danger of a disputed succession should Æthelred fall in battle. It was a well known tradition among other Germanic peoples – such as the Swedes and Franks to whom the Anglo-Saxons were closely related – to crown a successor as royal prince and military commander.""]",The Great Heathen Army of Danes landed in East Anglia with the intent of conquering the four kingdoms which constituted Anglo-Saxon England in 865.,single_hop_specifc_query_synthesizer
WHAT HAPPENED AT THE BATTLE OF READING?,"[""Viking invasion\nIn 868, Alfred was recorded as fighting beside Æthelred in a failed attempt to keep the Great Heathen Army led by Ivar the Boneless out of the adjoining Kingdom of Mercia. The Danes arrived in his homeland at the end of 870, and nine engagements were fought in the following year, with mixed results; the places and dates of two of these battles have not been recorded. A successful skirmish at the Battle of Englefield in Berkshire on 31 December 870 was followed by a severe defeat at the siege and the Battle of Reading by Ivar's brother Halfdan Ragnarsson on 5 January 871. Four days later, the Anglo-Saxons won a victory at the Battle of Ashdown on the Berkshire Downs, possibly near Compton or Aldworth. The Saxons were defeated at the Battle of Basing on 22 January. They were defeated again on 22 March at the Battle of Merton (perhaps Marden in Wiltshire or Martin in Dorset). Æthelred died shortly afterwards in April 871.""]","The Danes, led by Ivar's brother Halfdan Ragnarsson, won a severe defeat at the Battle of Reading on 5 January 871.",single_hop_specifc_query_synthesizer
What was Wessex under Alfred's rule like during his early struggles against the Danes?,"[""King at war\nEarly struggles\nIn April 871, King Æthelred died and Alfred acceded to the throne of Wessex and the burden of its defence, even though Æthelred left two under-age sons, Æthelhelm and Æthelwold. This was in accordance with the agreement that Æthelred and Alfred had made earlier that year in an assembly at an unidentified place called Swinbeorg. The brothers had agreed that whichever of them outlived the other would inherit the personal property that King Æthelwulf had left jointly to his sons in his will. The deceased's sons would receive only whatever property and riches their father had settled upon them and whatever additional lands their uncle had acquired. The unstated premise was that the surviving brother would be king. Given the Danish invasion and the youth of his nephews, Alfred's accession probably went uncontested.\nWhile he was busy with the burial ceremonies for his brother, the Danes defeated the Saxon army in his absence at an unnamed spot and then again in his presence at Wilton in May. The defeat at Wilton smashed any remaining hope that Alfred could drive the invaders from his kingdom. Alfred was forced instead to make peace with them. Although the terms of the peace are not recorded, Bishop Asser wrote that the pagans agreed to vacate the realm and made good their promise.\nThe Viking army withdrew from Reading in the autumn of 871 to take up winter quarters in Mercian London. Although not mentioned by Asser or by the Anglo-Saxon Chronicle, Alfred probably paid the Vikings silver to leave, much as the Mercians were to do in the following year. Hoards dating to the Viking occupation of London in 871/872 have been excavated at Croydon, Gravesend and Waterloo Bridge. These finds hint at the cost involved in making peace with the Vikings. For the next five years, the Danes occupied other parts of England.""]","During Alfred's early struggles against the Danes, after King Æthelred's death in April 871, the Saxon army was defeated by the Danes both in his absence and when he was present at Wilton. This defeat led to a peace agreement where the Vikings agreed to vacate Wessex.",single_hop_specifc_query_synthesizer
What happened in Chippenham during January 878 according to the provided context?,"['In 876, under Guthrum, Oscetel and Anwend, the Danes slipped past the Saxon army and attacked and occupied Wareham in Dorset. Alfred blockaded them but was unable to take Wareham by assault. He negotiated a peace that involved an exchange of hostages and oaths, which the Danes swore on a ""holy ring"" associated with the worship of Thor. The Danes broke their word, and after killing all the hostages, slipped away under cover of night to Exeter in Devon.\nAlfred blockaded the Viking ships in Devon, and with a relief fleet having been scattered by a storm, the Danes were forced to submit. The Danes withdrew to Mercia. In January 878, the Danes made a sudden attack on Chippenham, a royal stronghold in which Alfred had been staying over Christmas ""and most of the people they killed, except the King Alfred, and he with a little band made his way by wood and swamp, and after Easter he made a fort at Athelney in the marshes of Somerset, and from that fort kept fighting against the foe"". Considering the fate of the Mercians\' kingdom under similar Viking pressure and an analysis of charter signatories either side of the raid it has been suggested that Alfred may have fallen prey to a Witan coup at Chippenham rather than simply being surprised by a Viking attack. From his fort at Athelney, an island in the marshes near North Petherton, Alfred was able to mount a resistance campaign, rallying the local militias from Somerset, Wiltshire and Hampshire. 878 was the nadir of the history of the Anglo-Saxon kingdoms. With all the other kingdoms having fallen to the Vikings, Wessex alone was resisting.']","In January 878, the Danes made a sudden attack on Chippenham, a royal stronghold where Alfred had been staying over Christmas. Most of the people were killed except for King Alfred, who with a small group managed to escape into the woods and swamps. After Easter, Alfred established a fort at Athelney in the marshes of Somerset from which he continued his resistance against the Vikings.",single_hop_specifc_query_synthesizer
What did alfred accidentally burn while trying to mind the wheaten cakes?,"[""Legend of burnt cake\nHaving fled to the Somerset Levels, Alfred was purportedly given shelter by a peasant woman who, unaware of his identity, asked him to mind some wheaten cakes she left baking by the fire. Preoccupied with the problems of his kingdom, Alfred accidentally let the cakes burn, and was roundly scolded by the woman upon her return. The first written account of the legend appears a century after Alfred's death, though it may have earlier origins in folklore.""]","Alfred accidentally let the wheaten cakes burn while he was preoccupied with the problems of his kingdom, and was roundly scolded by the woman upon her return.",single_hop_specifc_query_synthesizer
When did Alfred ride to Egbert's Stone and what was the significance of this event?,"['Counter-attack and victory\nIn the seventh week after Easter (4–10 May 878), around Whitsuntide, Alfred rode to Egbert\'s Stone east of Selwood where he was met by ""all the people of Somerset and of Wiltshire and of that part of Hampshire which is on this side of the sea (that is, west of Southampton Water), and they rejoiced to see him"". Alfred\'s emergence from his marshland stronghold was part of a carefully planned offensive that entailed raising the fyrds of three shires. This meant not only that the king had retained the loyalty of ealdormen, royal reeves and king\'s thegns, who were charged with levying and leading these forces, but that they had maintained their positions of authority in these localities well enough to answer his summons to war. Alfred\'s actions also suggest a system of scouts and messengers.\nAlfred won a decisive victory in the ensuing Battle of Edington which may have been fought near Westbury, Wiltshire. He then pursued the Danes to their stronghold at Chippenham and starved them into submission. One of the terms of the surrender was that Guthrum convert to Christianity. Three weeks later, the Danish king and 29 of his chief men were baptised at Alfred\'s court at Aller, near Athelney, with Alfred receiving Guthrum as his spiritual son.\nThe unbinding of the chrisom on the eighth day took place at a royal estate called Wedmore.']","In the seventh week after Easter (4–10 May 878), around Whitsuntide, Alfred rode to Egbert's Stone east of Selwood. This event was significant as it marked his emergence from his marshland stronghold and was part of a carefully planned offensive that entailed raising the fyrds of three shires.",single_hop_specifc_query_synthesizer
What happened at Wedmore?,"[""The unbinding of the chrisom on the eighth day took place at a royal estate called Wedmore.\nAt Wedmore, Alfred and Guthrum negotiated what some historians have called the Treaty of Wedmore, but it was to be some years after the cessation of hostilities that a formal treaty was signed. Under the terms of the so-called Treaty of Wedmore, the converted Guthrum was required to leave Wessex and return to East Anglia. Consequently, in 879 the Viking army left Chippenham and made its way to Cirencester. The formal Treaty of Alfred and Guthrum, preserved in Old English in Corpus Christi College, Cambridge (Manuscript 383), and in a Latin compilation known as Quadripartitus, was negotiated later, perhaps in 879 or 880, when King Ceolwulf II of Mercia was deposed.\nThat treaty divided up the kingdom of Mercia. By its terms, the boundary between Alfred's and Guthrum's kingdoms was to run up the River Thames to the River Lea, follow the Lea to its source (near Luton), from there extend in a straight line to Bedford, and from Bedford follow the River Ouse to Watling Street.\nAlfred succeeded to Ceolwulf's kingdom consisting of western Mercia, and Guthrum incorporated the eastern part of Mercia into an enlarged Kingdom of East Anglia (henceforward known as the Danelaw). By terms of the treaty, moreover, Alfred was to have control over the Mercian city of London and its mints—at least for the time being. In 825, the Anglo-Saxon Chronicle had recorded that the people of Essex, Sussex, Kent and Surrey surrendered to Egbert, Alfred's grandfather. From then until the arrival of the Great Heathen Army, Essex had formed part of Wessex. After the foundation of Danelaw, it appears that some of Essex would have been ceded to the Danes, but how much is not clear.""]","At Wedmore, Alfred and Guthrum negotiated what some historians have called the Treaty of Wedmore.",single_hop_specifc_query_synthesizer
What was the significance of East Anglia in the context of Viking invasions during the 880s?,"[""880s\nWith the signing of the Treaty of Alfred and Guthrum, an event most commonly held to have taken place around 880 when Guthrum's people began settling East Anglia, Guthrum was neutralised as a threat. The Viking army, which had stayed at Fulham during the winter of 878–879, sailed for Ghent and was active on the continent from 879 to 892.\nThere were local raids on the coast of Wessex throughout the 880s. In 882, Alfred fought a small sea battle against four Danish ships. Two of the ships were destroyed, and the others surrendered. This was one of four sea battles recorded in the Anglo-Saxon Chronicle, three of which involved Alfred. Similar small skirmishes with independent Viking raiders would have occurred for much of the period as they had for decades.\nIn 883, Pope Marinus exempted the Saxon quarter in Rome from taxation, probably in return for Alfred's promise to send alms annually to Rome, which may be the origin of the medieval tax called Peter's Pence. The pope sent gifts to Alfred, including what was reputed to be a piece of the True Cross.\nAfter the signing of the treaty with Guthrum, Alfred was spared any large-scale conflicts for some time. Despite this relative peace, the king was forced to deal with a number of Danish raids and incursions. Among these was a raid in Kent, an allied kingdom in South East England, during the year 885, which was possibly the largest raid since the battles with Guthrum. Asser's account of the raid places the Danish raiders at the Saxon city of Rochester, where they built a temporary fortress in order to besiege the city. In response to this incursion, Alfred led an Anglo-Saxon force against the Danes who, instead of engaging the army of Wessex, fled to their beached ships and sailed to another part of Britain. The retreating Danish force supposedly left Britain the following summer.""]","With the signing of the Treaty of Alfred and Guthrum, an event most commonly held to have taken place around 880 when Guthrum's people began settling East Anglia, Guthrum was neutralised as a threat. The Viking army, which had stayed at Fulham during the winter of 878–879, sailed for Ghent and was active on the continent from 879 to 892.",single_hop_specifc_query_synthesizer
What happened after the Anglo-Saxon fleet traveled up the River Stour during their expedition to East Anglia?,"['Not long after the failed Danish raid in Kent, Alfred dispatched his fleet to East Anglia. The purpose of this expedition is debated, but Asser claims that it was for the sake of plunder. After travelling up the River Stour, the fleet was met by Danish vessels that numbered 13 or 16 (sources vary on the number), and a battle ensued. The Anglo-Saxon fleet emerged victorious, and as Henry of Huntingdon writes, ""laden with spoils"". The victorious fleet was surprised when attempting to leave the River Stour and was attacked by a Danish force at the mouth of the river. The Danish fleet defeated Alfred\'s fleet, which may have been weakened in the previous engagement.']","After travelling up the River Stour, the Anglo-Saxon fleet was met by Danish vessels that numbered 13 or 16 (sources vary on the number), and a battle ensued. The Anglo-Saxon fleet emerged victorious, but they were surprised when attempting to leave the River Stour and were attacked by a Danish force at the mouth of the river. In this engagement, the Danish fleet defeated Alfred's fleet, which may have been weakened in the previous battle.",single_hop_specifc_query_synthesizer
Where did Guthrum die?,"['King of the Anglo-Saxons\nA year later, in 886, Alfred reoccupied the city of London and set out to make it habitable again. Alfred entrusted the city to the care of his son-in-law Æthelred, ealdorman of Mercia. Soon afterwards, Alfred restyled himself as ""King of the Anglo-Saxons"". The restoration of London progressed through the latter half of the 880s and is believed to have revolved around a new street plan; added fortifications in addition to the existing Roman walls; and, some believe, the construction of matching fortifications on the south bank of the River Thames.\nThis is also the period in which almost all chroniclers agree that the Saxon people of pre-unification England submitted to Alfred. In 888, Æthelred, the archbishop of Canterbury, also died. One year later Guthrum, or Athelstan by his baptismal name, Alfred\'s former enemy and king of East Anglia, died and was buried in Hadleigh, Suffolk. Guthrum\'s death changed the political landscape for Alfred. The resulting power vacuum stirred other power-hungry warlords eager to take his place in the following years.']","Guthrum was buried in Hadleigh, Suffolk.",single_hop_specifc_query_synthesizer
Where did the larger division of Danes entrench themselves during their attack on England?,"[""Viking attacks (890s)\nAfter another lull, in the autumn of 892 or 893, the Danes attacked again. Finding their position in mainland Europe precarious, they crossed to England in 330 ships in two divisions. They entrenched themselves, the larger body at Appledore, Kent, and the lesser under Hastein, at Milton, also in Kent. The invaders brought their wives and children with them, indicating a meaningful attempt at conquest and colonisation. Alfred, in 893 or 894, took up a position from which he could observe both forces.\nWhile he was in talks with Hastein, the Danes at Appledore broke out and struck north-westwards. They were overtaken by Alfred's eldest son Edward, and were defeated at the Battle of Farnham in Surrey. They took refuge on an island at Thorney, on the River Colne between Buckinghamshire and Middlesex, where they were blockaded and forced to give hostages and promise to leave Wessex. They then went to Essex and after suffering another defeat at Benfleet, joined with Hastein's force at Shoebury.\nAlfred had been on his way to relieve his son at Thorney when he heard that the Northumbrian and East Anglian Danes were besieging Exeter and an unnamed stronghold on the North Devon shore. Alfred at once hurried westward and raised the Siege of Exeter. The fate of the other place is not recorded.""]","The larger body of Danes entrenched themselves at Appledore, Kent.",single_hop_specifc_query_synthesizer
How did the attacks on Camulodunum and Londinium during Boudica's uprising reflect the integration challenges faced by William post-1066 in England?,"[""<1-hop>\n\nAdministration\nAfter 1066, William did not attempt to integrate his separate domains into one unified realm with one set of laws. His seal from after 1066, of which six impressions still survive, was made for him after he conquered England and stressed his role as king, while separately mentioning his role as duke. When in Normandy, William acknowledged that he owed fealty to the French king, but in England no such acknowledgement was made\xa0– further evidence that the various parts of William's lands were considered separate. The administrative machinery of Normandy, England, and Maine continued to exist separate from the other lands, with each one retaining its own forms. For example, England continued the use of writs, which were not known on the continent. Also, the charters and documents produced for the government in Normandy differed in formulas from those produced in England."", ""<2-hop>\n\nUprising\nAttacks on Camulodunum, Londinium and Verulamium\nThe first target of the rebels was Camulodunum (modern Colchester), a Roman colonia for retired soldiers. A Roman temple had been erected there to Claudius, at great expense to the local population. Combined with brutal treatment of the Britons by the veterans, this had caused resentment towards the Romans.\nThe Iceni and the Trinovantes comprised an army of 120,000 men. Dio claimed that Boudica called upon the British goddess of victory Andraste to aid her army. Once the revolt had begun, the only Roman troops available to provide assistance, aside from the few within the colony, were 200 auxiliaries located in London, who were not equipped to fight Boudica's army. Camulodunum was captured by the rebels; those inhabitants who survived the initial attack took refuge in the Temple of Claudius for two days before they were killed. Quintus Petillius Cerialis, then commanding the Legio IX Hispana, attempted to relieve Camulodunum, but suffered an overwhelming defeat. The infantry with him were all killed and only the commander and some of his cavalry escaped. After this disaster, Catus Decianus, whose behaviour had provoked the rebellion, fled abroad to Gaul.\nSuetonius was leading a campaign against the island of Mona, off the coast of North Wales. On hearing the news of the Iceni uprising, he left a garrison on Mona and returned to deal with Boudica. He moved quickly with a force of men through hostile territory to Londinium, which he reached before the arrival of Boudica's army but, outnumbered, he decided to abandon the town to the rebels, who burned it down after torturing and killing everyone who had remained. The rebels also sacked the municipium of Verulamium (modern St Albans), north-west of London, though the extent of its destruction is unclear.""]","The attacks on Camulodunum and Londinium during Boudica's uprising reflected the integration challenges faced by William post-1066 in England. In both cases, the rebels targeted Roman settlements, with Camulodunum being captured after a brutal attack that killed those who survived an initial refuge in the Temple of Claudius. Similarly, Londinium was abandoned and burned down by Suetonius Paulinus when he decided to retreat before Boudica's army arrived, showing how the local populations were resistant to Roman rule and integration under foreign leadership.",multi_hop_abstract_query_synthesizer
